"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestor-12-2.nlogo"
"Fig-12-1"
"01/28/2013 12:45:59:823 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10","11","11","11","12","12","12","13","13","13","14","14","14","15","15","15","16","16","16","17","17","17","18","18","18","19","19","19","20","20","20","21","21","21","22","22","22","23","23","23","24","24","24","25","25","25","26","26","26"
,"6356.99","6","<ArgumentTypeException>","6854.8","7","<ArgumentTypeException>","6895.48","8","<ArgumentTypeException>","6686.86","9","<ArgumentTypeException>","6727.94","5","<ArgumentTypeException>","6341.34","4","<ArgumentTypeException>","6410.21","9","<ArgumentTypeException>","6363.31","7","<ArgumentTypeException>","7048.49","5","<ArgumentTypeException>","6669.15","3","<ArgumentTypeException>","6579.45","4","<ArgumentTypeException>","6742.98","3","<ArgumentTypeException>","6456.1","3","<ArgumentTypeException>","7002.9","2","<ArgumentTypeException>","6515.96","7","<ArgumentTypeException>","6784.08","5","<ArgumentTypeException>","6340.67","6","<ArgumentTypeException>","6292.91","6","<ArgumentTypeException>","6587.36","4","<ArgumentTypeException>","6740.17","3","<ArgumentTypeException>","6627.38","2","<ArgumentTypeException>","6721.52","3","<ArgumentTypeException>","6014.1","5","<ArgumentTypeException>","6554.49","4","<ArgumentTypeException>","6194.4","6","<ArgumentTypeException>","6164.18","3","<ArgumentTypeException>"
,"13227.75","9","<ArgumentTypeException>","14140.03","9","<ArgumentTypeException>","14168.46","9","<ArgumentTypeException>","13605.56","16","<ArgumentTypeException>","13443.02","12","<ArgumentTypeException>","12815.91","9","<ArgumentTypeException>","13308.93","14","<ArgumentTypeException>","13134.2","10","<ArgumentTypeException>","14088.13","8","<ArgumentTypeException>","12937.34","7","<ArgumentTypeException>","12886.24","9","<ArgumentTypeException>","12793.67","9","<ArgumentTypeException>","12485.72","11","<ArgumentTypeException>","13190.56","6","<ArgumentTypeException>","12915.39","10","<ArgumentTypeException>","13076.5","7","<ArgumentTypeException>","11702.99","8","<ArgumentTypeException>","12104.39","12","<ArgumentTypeException>","12127.85","6","<ArgumentTypeException>","12580.81","6","<ArgumentTypeException>","12766.8","2","<ArgumentTypeException>","12287.52","7","<ArgumentTypeException>","11143.09","10","<ArgumentTypeException>","11985.27","11","<ArgumentTypeException>","11254.82","9","<ArgumentTypeException>","11412.46","5","<ArgumentTypeException>"
,"19941.17","15","<ArgumentTypeException>","21547.16","11","<ArgumentTypeException>","21227.5","14","<ArgumentTypeException>","20388.62","22","<ArgumentTypeException>","20084.83","20","<ArgumentTypeException>","19267.52","15","<ArgumentTypeException>","19968.08","18","<ArgumentTypeException>","19306.44","16","<ArgumentTypeException>","20804.48","14","<ArgumentTypeException>","18467.55","12","<ArgumentTypeException>","19129.74","9","<ArgumentTypeException>","18788.89","12","<ArgumentTypeException>","18568.62","14","<ArgumentTypeException>","18923.59","8","<ArgumentTypeException>","18572.34","14","<ArgumentTypeException>","18285.68","13","<ArgumentTypeException>","16745.35","10","<ArgumentTypeException>","17381.99","14","<ArgumentTypeException>","16763.3","13","<ArgumentTypeException>","17880.48","6","<ArgumentTypeException>","17940.6","5","<ArgumentTypeException>","17377.79","10","<ArgumentTypeException>","15827.17","11","<ArgumentTypeException>","16766.76","17","<ArgumentTypeException>","15566.33","11","<ArgumentTypeException>","16151.84","7","<ArgumentTypeException>"
,"26481.7","23","<ArgumentTypeException>","28939.86","13","<ArgumentTypeException>","28331.51","18","<ArgumentTypeException>","27294.59","26","<ArgumentTypeException>","26543.72","28","<ArgumentTypeException>","25746.22","16","<ArgumentTypeException>","26246.03","22","<ArgumentTypeException>","25355.31","20","<ArgumentTypeException>","27307.18","17","<ArgumentTypeException>","24083.93","13","<ArgumentTypeException>","24291","14","<ArgumentTypeException>","24691.97","14","<ArgumentTypeException>","23878.09","15","<ArgumentTypeException>","24399.13","11","<ArgumentTypeException>","24087.56","18","<ArgumentTypeException>","23858.79","14","<ArgumentTypeException>","21106.42","14","<ArgumentTypeException>","22133.01","15","<ArgumentTypeException>","20773.94","16","<ArgumentTypeException>","22686.18","9","<ArgumentTypeException>","22626.72","9","<ArgumentTypeException>","22303.76","14","<ArgumentTypeException>","19845.9","15","<ArgumentTypeException>","22127.85","19","<ArgumentTypeException>","19811.29","15","<ArgumentTypeException>","20586.58","8","<ArgumentTypeException>"
,"33153.49","28","<ArgumentTypeException>","36060.05","18","<ArgumentTypeException>","35316","21","<ArgumentTypeException>","33737.88","31","<ArgumentTypeException>","33073.24","32","<ArgumentTypeException>","31857.34","19","<ArgumentTypeException>","32557.94","26","<ArgumentTypeException>","30874.65","25","<ArgumentTypeException>","33406.97","21","<ArgumentTypeException>","28736.08","21","<ArgumentTypeException>","29970.29","17","<ArgumentTypeException>","30154.75","18","<ArgumentTypeException>","28674.84","21","<ArgumentTypeException>","29403.12","16","<ArgumentTypeException>","28917.2","23","<ArgumentTypeException>","28846.59","17","<ArgumentTypeException>","25527.69","16","<ArgumentTypeException>","26819.24","15","<ArgumentTypeException>","24225.98","22","<ArgumentTypeException>","27833.36","10","<ArgumentTypeException>","27542.07","10","<ArgumentTypeException>","26663.79","17","<ArgumentTypeException>","23716.89","15","<ArgumentTypeException>","26981.69","20","<ArgumentTypeException>","23603.78","18","<ArgumentTypeException>","24953.08","11","<ArgumentTypeException>"
,"40158.03","29","<ArgumentTypeException>","43378.52","20","<ArgumentTypeException>","42125.57","25","<ArgumentTypeException>","40255.26","35","<ArgumentTypeException>","39318.63","36","<ArgumentTypeException>","37891.73","21","<ArgumentTypeException>","38559.67","30","<ArgumentTypeException>","36346.59","27","<ArgumentTypeException>","39248.59","25","<ArgumentTypeException>","33373.21","26","<ArgumentTypeException>","34946.7","19","<ArgumentTypeException>","34888.94","23","<ArgumentTypeException>","33445.68","22","<ArgumentTypeException>","34301.18","18","<ArgumentTypeException>","33813.82","24","<ArgumentTypeException>","33362.25","19","<ArgumentTypeException>","29700.44","18","<ArgumentTypeException>","30782.61","20","<ArgumentTypeException>","27783.03","25","<ArgumentTypeException>","32661.85","11","<ArgumentTypeException>","31926.06","11","<ArgumentTypeException>","30826.79","24","<ArgumentTypeException>","27616.44","18","<ArgumentTypeException>","31343.88","25","<ArgumentTypeException>","27269.62","20","<ArgumentTypeException>","29391.34","11","<ArgumentTypeException>"
,"47037.84","32","<ArgumentTypeException>","50411.78","27","<ArgumentTypeException>","48851.19","30","<ArgumentTypeException>","46712.22","37","<ArgumentTypeException>","44841.45","39","<ArgumentTypeException>","43086.8","26","<ArgumentTypeException>","44412.54","34","<ArgumentTypeException>","41754.46","29","<ArgumentTypeException>","45031.78","30","<ArgumentTypeException>","37497.95","34","<ArgumentTypeException>","40001.41","20","<ArgumentTypeException>","39629.84","28","<ArgumentTypeException>","38115.31","25","<ArgumentTypeException>","39173.82","20","<ArgumentTypeException>","38555.51","26","<ArgumentTypeException>","38413.96","20","<ArgumentTypeException>","33737.89","20","<ArgumentTypeException>","35421.69","23","<ArgumentTypeException>","31267.04","29","<ArgumentTypeException>","37114.47","12","<ArgumentTypeException>","36063.02","16","<ArgumentTypeException>","34425.79","27","<ArgumentTypeException>","30762.38","22","<ArgumentTypeException>","35899.87","29","<ArgumentTypeException>","30451.03","25","<ArgumentTypeException>","33594.06","15","<ArgumentTypeException>"
,"53679.95","38","<ArgumentTypeException>","57112.88","37","<ArgumentTypeException>","55241.34","35","<ArgumentTypeException>","52900.18","40","<ArgumentTypeException>","50350.43","43","<ArgumentTypeException>","48328.65","29","<ArgumentTypeException>","49856.08","38","<ArgumentTypeException>","47094.38","32","<ArgumentTypeException>","50617.15","34","<ArgumentTypeException>","41949.06","38","<ArgumentTypeException>","44561.93","23","<ArgumentTypeException>","44300.22","31","<ArgumentTypeException>","42671.59","27","<ArgumentTypeException>","44186.03","22","<ArgumentTypeException>","43216.47","29","<ArgumentTypeException>","42784.01","22","<ArgumentTypeException>","37578.61","24","<ArgumentTypeException>","39612.94","25","<ArgumentTypeException>","34904.86","31","<ArgumentTypeException>","41757.22","13","<ArgumentTypeException>","40248.42","20","<ArgumentTypeException>","38492.68","32","<ArgumentTypeException>","34550.43","25","<ArgumentTypeException>","40256.12","34","<ArgumentTypeException>","33821.95","27","<ArgumentTypeException>","37780.77","16","<ArgumentTypeException>"
,"59926.58","49","<ArgumentTypeException>","64198.17","41","<ArgumentTypeException>","61702.39","37","<ArgumentTypeException>","58956.61","42","<ArgumentTypeException>","55934.98","45","<ArgumentTypeException>","53432.92","32","<ArgumentTypeException>","54752.98","41","<ArgumentTypeException>","52304.49","33","<ArgumentTypeException>","56249.71","35","<ArgumentTypeException>","46425.85","41","<ArgumentTypeException>","49042.25","26","<ArgumentTypeException>","49039.43","32","<ArgumentTypeException>","47307.3","29","<ArgumentTypeException>","49040.03","25","<ArgumentTypeException>","48018.11","31","<ArgumentTypeException>","47066.5","27","<ArgumentTypeException>","41154.09","28","<ArgumentTypeException>","43659.86","26","<ArgumentTypeException>","37995.83","32","<ArgumentTypeException>","45828.79","20","<ArgumentTypeException>","44595.83","24","<ArgumentTypeException>","42331.13","36","<ArgumentTypeException>","37504.33","28","<ArgumentTypeException>","44429.19","40","<ArgumentTypeException>","37379.9","30","<ArgumentTypeException>","41562.54","19","<ArgumentTypeException>"
,"66831.42","52","<ArgumentTypeException>","70794.74","50","<ArgumentTypeException>","67963.37","40","<ArgumentTypeException>","64484.49","45","<ArgumentTypeException>","61552.27","47","<ArgumentTypeException>","58607.8","34","<ArgumentTypeException>","60026.58","43","<ArgumentTypeException>","57046.65","35","<ArgumentTypeException>","61720.83","37","<ArgumentTypeException>","50546.48","42","<ArgumentTypeException>","53625.03","28","<ArgumentTypeException>","53480.25","37","<ArgumentTypeException>","51637.51","33","<ArgumentTypeException>","53526.52","27","<ArgumentTypeException>","52454.09","33","<ArgumentTypeException>","51420.45","31","<ArgumentTypeException>","44733.01","29","<ArgumentTypeException>","47671.57","34","<ArgumentTypeException>","41108.09","38","<ArgumentTypeException>","49804.47","25","<ArgumentTypeException>","48997.06","24","<ArgumentTypeException>","45681.81","43","<ArgumentTypeException>","40830.29","29","<ArgumentTypeException>","48279.13","45","<ArgumentTypeException>","40347.94","35","<ArgumentTypeException>","45399.4","22","<ArgumentTypeException>"
