BehaviorSpace results (NetLogo 5.0.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BusinessInvestor-12-2.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig-12-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2013 16:04:39:026 -0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26
decisionTimeHorizon,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
[reporter],M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t
[final],"174357,09","169439,99","139236,71","133246,02","128777,07","133449,2",118155,"105498,81","108876,51","96165,62","112012,09","104538,82","120673,52","111589,35","94936,36","110962,42","115815,72","99702,93","98748,18","105967,63","102058,42","99209,64","88671,66","107104,65","98178,2","99071,3",136,110,105,87,94,73,77,82,68,90,64,53,82,67,68,68,66,80,65,59,79,67,68,85,52,68,"7264,87875","7059,9995833333","5801,5295833333","5551,9175","5365,71125","5560,3833333333","4923,125","4395,78375","4536,52125","4006,9008333333","4667,1704166667","4355,7841666667","5028,0633333333","4649,55625","3955,6816666667","4623,4341666667","4825,655","4154,28875","4114,5075","4415,3179166667","4252,4341666667",4133735,"3694,6525","4462,69375","4090,7583333333","4127,9708333333"
[min],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[max],"174357,09","169439,99","139236,71","133246,02","128777,07","133449,2",118155,"105498,81","108876,51","96165,62","112012,09","104538,82","120673,52","111589,35","94936,36","110962,42","115815,72","99702,93","98748,18","105967,63","102058,42","99209,64","88671,66","107104,65","98178,2","99071,3",136,110,105,87,94,73,77,82,68,90,64,53,82,67,68,68,66,80,65,59,79,67,68,85,52,68,"7264,87875","7282,2885714286","6691,94",6774305,"6757,2433333333",7074455,6617335,"6221,06","6475,91",6546905,"6797,52","6558,96","6371,71","6805,51","6208,23","6484,3","7150,58","6351,09","6581,47","6696,47","6606,04","6260,97","6129,2","7028,09","6236,02","6113,42"
[mean],"86613,8056","85976,7512","73710,5492","71359,7784","69872,136","71001,4752","64530,0436","58553,2312","60047,7152","54344,52","59910,8736","55703,0036","64063,5816","60038,9648","51527,0032","59536,0388","61567,3612","54214,8984","53577,3644","56961,774","55342,0372","52171,3288","48312,628","57315,7608","52288,762","52407,0356","70,2","58,8","60,4","45,24","53,32","35,56","38,2","46,2",37,"46,48","32,68","27,96","45,72","34,36","35,76","37,16","37,96",43,"31,04","33,8","42,08","36,72","33,08","44,96","27,6","37,72","6883,4666579579","6886,2218920399","6041,861401822","5919,9173348708","5833,2711526709","5927,834799527","5444,7756035846","4987,6463265701","5111,7015036731","4767,1210864782","5083,4731966363","4768,256458905","5327,6452766558","5116,2391600855","4439,4046816118","5040,7159750351","5246,6120154258","4641,0457819347","4598,267409922","4861,1534379772","4746,6999273357","4429,5418965786","4196,2336678213","4926,8077090211","4447,9165838659","4440,352932734"
[steps],24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,M-W-t,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,C-Q,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t,M-MAP-t
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"6784,74","6983,26","6510,64","6701,21","6719,73","7040,11","6538,43","6221,06","6475,91","6537,46","6797,52","6558,96","6371,71","6805,51","6208,23","6484,3","7150,58","6351,09","6581,47","6696,47","6606,04","6260,97","6129,2","7028,09","6236,02","6113,42",5,6,6,4,7,3,4,8,4,7,5,3,7,4,4,7,4,8,3,5,4,4,7,4,2,4,"6784,74","6983,26","6510,64","6701,21","6719,73","7040,11","6538,43","6221,06","6475,91","6537,46","6797,52","6558,96","6371,71","6805,51","6208,23","6484,3","7150,58","6351,09","6581,47","6696,47","6606,04","6260,97","6129,2","7028,09","6236,02","6113,42"
