BehaviorSpace results (NetLogo 5.0.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BusinessInvestor-12-2.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig-12-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2013 13:02:52:053 -0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26
decisionTimeHorizon,0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,,22,,,23,,,24,,,25,,
[reporter],mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles
[final],"172776,35",140,"7199,0145833333","163156,65",97,"6798,19375","161397,65",83,"6724,9020833333","138185,85",69,"5757,74375","126341,3",91,"5264,2208333333","125671,66",78,"5236,3191666667","124886,26",72,"5203,5941666667","108869,97",75,"4536,24875","101385,44",74,"4224,3933333333","109383,26",58,"4557,6358333333","103434,5",72,"4309,7708333333","100506,03",70,"4187,75125","112889,75",64,"4703,7395833333","106852,22",76,"4452,1758333333","112916,09",61,"4704,8370833333","115654,59",72,"4818,94125","100570,58",69,"4190,4408333333","97513,69",68,"4063,0704166667","92078,91",69,"3836,62125","91843,25",59,"3826,8020833333","97116,63",71,"4046,52625","108555,51",62,"4523,14625","101982,82",63,"4249,2841666667","98699,49",88,"4112,47875","95869,02",57,"3994,5425","104308,08",63,"4346,17"
[min],0,0,6304,0,0,"6798,19375",0,0,"6724,9020833333",0,0,"5757,74375",0,0,"5264,2208333333",0,0,"5236,3191666667",0,0,"5203,5941666667",0,0,"4536,24875",0,0,"4224,3933333333",0,0,"4557,6358333333",0,0,"4309,7708333333",0,0,"4187,75125",0,0,"4703,7395833333",0,0,"4452,1758333333",0,0,"4704,8370833333",0,0,"4818,94125",0,0,"4190,4408333333",0,0,"4063,0704166667",0,0,"3836,62125",0,0,"3826,8020833333",0,0,"4046,52625",0,0,"4523,14625",0,0,"4249,2841666667",0,0,"4112,47875",0,0,"3994,5425",0,0,"4346,17"
[max],"172776,35",140,"7199,0145833333","163156,65",97,"7255,0871428572","161397,65",83,"7346,0566666667","138185,85",69,"6945,4625","126341,3",91,"6512,5275","125671,66",78,"6838,8","124886,26",72,6876085,"108869,97",75,"6401,85","101385,44",74,"6276,46","109383,26",58,"6791,35","103434,5",72,"6498,46","100506,03",70,"6284,08","112889,75",64,"6435,59","106852,22",76,"6604,82","112916,09",61,"6914,11","115654,59",72,6582205,"100570,58",69,"6353,52","97513,69",68,"6280,06","92078,91",69,"5879,85","91843,25",59,"6077,75","97116,63",71,"6320,01","108555,51",62,"6653,44","101982,82",63,"6336,6","98699,49",88,"6141,66","95869,02",57,"6436,95","104308,08",63,"6111,75"
[mean],"85613,4164","76,6",,"84104,8412","51,32",,83343388,"48,52",,"73835,1272","40,4",,"68090,2744","50,52",,"67820,7576","39,56",,"67143,4884","35,8",,"59099,2388","41,24",,"56630,692","43,52",,"59208,81","29,88",,"56343,6376","40,72",,"55662,0108","37,84",,"59970,0232","33,16",,"57507,2556","40,08",,"60534,4388","33,48",,"61771,3448","39,72",,"54082,3164","34,6",,"52447,202","38,76",,"49446,4404",35,,"49757,7876",33,,"52113,7028","37,76",,"57436,0408","30,32",,"54726,938","29,76",,"52401,3988","46,16",,"51122,3064","29,8",,"55129,7752","34,92",
[steps],24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [w] of turtles,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles
