"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestorWithAdaptiveBehavior.nlogo"
"expVarProfitMultiplier"
"01/22/2013 17:00:39:974 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","profitMultiplier","[step]","mean [w] of turtles"
"7","0.5","24","85087.035"
"8","0.5","11","41659.755"
"9","0.5","8","30680.68"
"8","0.5","12","45355.37"
"9","0.5","9","34460.325"
"1","0.5","10","36773.435"
"10","0.5","0","0"
"8","0.5","13","48811.135"
"9","0.5","10","37985.535"
"10","0.5","1","3849.09"
"8","0.5","14","52322.61"
"10","0.5","2","7886.175"
"9","0.5","11","41374.285"
"1","0.5","11","40047.695"
"8","0.5","15","55814.945"
"10","0.5","3","11647.985"
"9","0.5","12","44787.22"
"1","0.5","12","43224.92"
"8","0.5","16","59189.49"
"10","0.5","4","15326.575"
"9","0.5","13","48041.68"
"1","0.5","13","46527.07"
"10","0.5","5","18969.51"
"9","0.5","14","51462.74"
"8","0.5","17","62328.785"
"1","0.5","14","49743.705"
"10","0.5","6","22593.385"
"9","0.5","15","54729.35"
"8","0.5","18","65552.425"
"10","0.5","7","26165.64"
"9","0.5","16","58154.25"
"1","0.5","15","52978.095"
"8","0.5","19","68751.505"
"10","0.5","8","29471.865"
"9","0.5","17","61462.57"
"8","0.5","20","72091.77"
"10","0.5","9","32882.76"
"9","0.5","18","64564.305"
"10","0.5","10","36378.705"
"9","0.5","19","67821.275"
"10","0.5","11","39676.825"
"8","0.5","21","75441.2"
"9","0.5","20","70912.01"
"10","0.5","12","42777.935"
"8","0.5","22","78707.1"
"10","0.5","13","45819.21"
"9","0.5","21","74069.435"
"8","0.5","23","82017.39"
"10","0.5","14","49037.585"
"9","0.5","22","77266.605"
"8","0.5","24","85234.955"
"10","0.5","15","52339.645"
"9","0.5","23","80468.39"
"10","0.5","16","55366.975"
"10","0.5","17","58394.74"
"10","0.5","18","61612.865"
"10","0.5","19","64628.485"
"10","0.5","20","67757.165"
"10","0.5","21","70539.29"
"10","0.5","22","73609.79"
"10","0.5","23","76654.47"
"9","0.5","24","83629.14"
"10","0.5","24","79501.185"
"1","0.5","16","56138.34"
"12","0.5","0","0"
"1","0.5","17","59314.09"
"12","0.5","1","3910.545"
"12","0.5","2","7799.2"
"1","0.5","18","62476.89"
"11","0.5","0","0"
"11","0.5","1","3941.89"
"12","0.5","3","11729.055"
"12","0.5","4","15623.405"
"13","0.5","0","0"
"12","0.5","5","19515.32"
"11","0.5","2","7888.4"
"13","0.5","1","3823.51"
"12","0.5","6","23142.935"
"1","0.5","19","65694.55"
"13","0.5","2","7675.93"
"12","0.5","7","26745"
"13","0.5","3","11386.925"
"12","0.5","8","30334.6"
"13","0.5","4","15165.77"
"11","0.5","3","11963.85"
"12","0.5","9","33774.66"
"13","0.5","5","18903.44"
"11","0.5","4","15900.26"
"12","0.5","10","37345.19"
"11","0.5","5","19521"
"12","0.5","11","40747.045"
"13","0.5","6","22717.825"
"12","0.5","12","44176.215"
"11","0.5","6","23217.625"
"13","0.5","7","26429.77"
"12","0.5","13","47594.79"
"11","0.5","7","26909.9"
"12","0.5","14","51031.22"
"13","0.5","8","30069.63"
"13","0.5","9","33570.685"
"12","0.5","15","54469.535"
"12","0.5","16","57651.295"
"12","0.5","17","60999.77"
"12","0.5","18","64278.89"
"12","0.5","19","67492.255"
"11","0.5","8","30391.815"
"12","0.5","20","70538.05"
"13","0.5","10","37202.09"
