BehaviorSpace results (NetLogo 5.0.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BusinessInvestor-12-2.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig-12-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2013 10:16:27:038 -0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"6453,83","6953,8","6682,06","6530,12","6688,28","7168,65","6389,96","7007,68","6549,5","6886,69","5838,81","6855,05","6006,48","5993,12","6855,5","6669,03","6810,43","6802,85","6382,56","6501,47","5848,42","6693,15","6356,02","6357,42","6224,48","6007,55",13,6,9,9,7,3,7,4,7,2,10,3,5,6,2,0,4,4,7,2,7,1,4,3,6,5,"6453,83","6953,8","6682,06","6530,12","6688,28","7168,65","6389,96","7007,68","6549,5","6886,69","5838,81","6855,05","6006,48","5993,12","6855,5","6669,03","6810,43","6802,85","6382,56","6501,47","5848,42","6693,15","6356,02","6357,42","6224,48","6007,55","0,0545082566","0,0546445156","0,0569088024","0,0539250508","0,0548104596","0,0550092698","0,0531192067","0,0480318272","0,0513845185","0,049431759","0,0439332358","0,0505017108","0,0448024487","0,0484652813","0,04692414","0,0482790653","0,0477669527","0,0405542456","0,0482941733","0,041415872","0,0395890356","0,0478448202","0,0418471818","0,0441144856","0,0437238648","0,0426350656"
,"13463,25","14267,23","13509,75","13579,25","13612,81","14184,49","13070,4","14097,33","13163,69","13488,3","11968,09","12864,67","12149,27","11083,85","12419,22","12213,49","12279,68","12972,67","12248,44","12167,49","11304,08","11236,87","11894,49","11445,93","11920,13","11195,4",23,10,19,18,13,7,11,5,11,4,14,8,8,16,6,4,9,7,9,6,10,6,8,8,10,9,"6731,625",7133615,6754875,6789625,6806405,7092245,"6535,2",7048665,6581845,"6744,15",5984045,6432335,6074635,5541925,"6209,61",6106745,"6139,84",6486335,"6124,22",6083745,"5652,04",5618435,5947245,5722965,5960065,"5597,7","0,054486148","0,0539470638","0,0549419686","0,0526955324","0,0522223737","0,051466217","0,0511777724","0,0467469692","0,0482718552","0,0445395372","0,0409905026","0,0460738092","0,0421277813","0,0439045419","0,0411983338","0,0439509958","0,0420308172","0,0360254082","0,0422699709","0,0374293127","0,0367254676","0,039466049","0,0372744701","0,0398006993","0,0393123672","0,0380247281"
,"20635,51","21099,38","20326,66","20552,01","20456,65","21076,61","18986,63","20633,6","19300,46","19594,2","17953,6","18831,73","17663,01","16067,51","17561,51","17356,56","17507,31","18803,74","17412,52","17377,53","16061,56","16031,83","16871,47","16253,56","16566,47","15763,09",29,21,28,25,17,10,18,7,13,7,19,8,13,18,8,10,13,10,12,11,14,9,13,11,13,15,"6878,5033333333","7033,1266666667","6775,5533333333","6850,67","6818,8833333333","7025,5366666667","6328,8766666667","6877,8666666667","6433,4866666667","6531,4","5984,5333333333","6277,2433333333","5887,67","5355,8366666667","5853,8366666667","5785,52","5835,77","6267,9133333333","5804,1733333333","5792,51","5353,8533333333","5343,9433333333","5623,8233333333","5417,8533333333","5522,1566666667","5254,3633333333","0,0546342445","0,0531348561","0,0540091449","0,0509201559","0,0500980538","0,049131475","0,0474935572","0,0446652958","0,0455156615","0,0414991634","0,0391099008","0,043080927","0,0400470607","0,0410095041","0,0381735405","0,0413943527","0,0393887743","0,0337925833","0,038844273","0,0349947209","0,0343743579","0,0367181371","0,0348202857","0,0374914823","0,0360378283","0,0356075657"
,"27934,14","28153,03","27292,11","27625,32","27090,9","27430,31","24865,78","26411,71","24673,62","25355,31","24085,44","24127,36","22604,31","20319,86","22102,27","22246,65","22152,65","24366,9","21812,57","22328,18","20670,78","20500,12","21427,56","20720,67","21167,45","20082,49",34,29,37,28,23,16,20,12,19,8,19,12,19,23,12,13,20,13,15,12,16,11,18,11,15,18,"6983,535","7038,2575","6823,0275","6906,33",6772725,"6857,5775",6216445,"6602,9275",6168405,"6338,8275","6021,36","6031,84","5651,0775",5079965,"5525,5675","5561,6625","5538,1625",6091725,"5453,1425",5582045,5167695,"5125,03","5356,89","5180,1675","5291,8625","5020,6225","0,0546537756","0,0525993646","0,0534079488","0,0491659831","0,0484885406","0,0470881234","0,0449145611","0,0427695922","0,0429688613","0,039376227","0,037745856","0,0410002303","0,0378942186","0,0387494857","0,035666218","0,0396364728","0,0376988704","0,0324573012","0,0363478347","0,03354621","0,032930234","0,0350264917","0,0333644764","0,0357026592","0,0341844142","0,0338536853"
,"35040,78","35235,82","34133,2","34378,44","33473,1","33298,81","30482,95","32058,46","29975,88","30754,98","29650,41","29208,11","27692,16","24397,14","26669,58","26778,19","26575,86","29583,24","26181,32","26733,49","25309,18","24697,73","26013,05","24539,76","25452,42","24451,77",42,35,45,34,28,22,24,16,21,11,22,14,21,27,13,15,25,19,16,13,19,16,18,17,19,21,"7008,156","7047,164","6826,64","6875,688","6694,62","6659,762","6096,59","6411,692","5995,176","6150,996","5930,082","5841,622",5538432,"4879,428","5333,916","5355,638",5315172,5916648,5236264,"5346,698","5061,836","4939,546","5202,61","4907,952",5090484,"4890,354","0,0546155297","0,0519644497","0,0525683849","0,0476360558","0,0469025007","0,0450639305","0,043134336","0,041115088","0,041218669","0,0376071391","0,0364841441","0,0394159306","0,0364329657","0,0370683946","0,0341319569","0,0382507218","0,0364820855","0,031439385","0,0347191944","0,0323346446","0,032182643","0,0336985387","0,0321940002","0,0342862035","0,0331271332","0,0326422811"
,"42457,85","42528,15","40842,9","40860,59","39907,57","39018,22","35608,87","37123,18","35101,78","36170,01","35056,42","33891,73","32247,72","28623,89","30988,01","30981,58","31231,86","34833,53","30272,54","31258,19","29844,42","28925,83",29935,"28534,58","29230,39","28497,61",46,38,52,40,32,26,27,22,24,12,25,16,26,28,14,18,27,21,19,16,22,19,24,18,21,23,"7076,3083333333","7088,025","6807,15","6810,0983333333","6651,2616666667","6503,0366666667","5934,8116666667","6187,1966666667","5850,2966666667","6028,335","5842,7366666667","5648,6216666667","5374,62","4770,6483333333","5164,6683333333","5163,5966666667","5205,31","5805,5883333333","5045,4233333333","5209,6983333333","4974,07","4820,9716666667","4989,1666666667","4755,7633333333","4871,7316666667","4749,6016666667","0,0546880511","0,0513265463","0,0514976857","0,0460741245","0,045726461","0,0434269847","0,0414284191","0,0397284164","0,0397776291","0,0363425984","0,0354267894","0,0381281194","0,0352666817","0,0357985902","0,032969902","0,0369772168","0,0356107697","0,0306027079","0,0334610558","0,0314993159","0,0316999601","0,0328631986","0,0313060621","0,0334304698","0,0319721454","0,0316492315"
,"49551,27","49784,79","47597,38","47601,92","45851,35","44427,79","40416,02","42425,15","40475,12","41681,58","40158,59","38601,94","36912,31","32984,77","34490,34","35057,93","35459,56","39712,59","34398,47","35340,92","34395,46","33074,46",33829,"32414,96","32825,91","32543,12",54,42,57,42,37,27,29,23,27,13,28,19,30,30,20,21,32,23,21,21,23,22,27,20,27,26,"7078,7528571429","7112,1128571429","6799,6257142857","6800,2742857143","6550,1928571429","6346,8271428571","5773,7171428571","6060,7357142857","5782,16","5954,5114285714","5736,9414285714","5514,5628571429","5273,1871428572","4712,11","4927,1914285714","5008,2757142857","5065,6514285714","5673,2271428571","4914,0671428572","5048,7028571429","4913,6371428572","4724,9228571429","4832,7142857143","4630,7085714286","4689,4157142857","4649,0171428572","0,0546296413","0,0507457223","0,0504865898","0,0449444569","0,0443751225","0,0419074423","0,0398735521","0,0386848221","0,0389539395","0,0355263103","0,0345230723","0,0371711561","0,0344713935","0,0349744421","0,031883216","0,0359883912","0,034756173","0,0298488099","0,0326128566","0,0308955752","0,0312502929","0,0322178683","0,0305838746","0,0327277256","0,031171138","0,031021283"
,"56666,85","56792,04","54203,82","54036,58","51703,48","49971,69","45385,75","47212,42","45120,55","47078,81","45128,21","43031,01","41075,21","36824,25","38084,29","39296,34","39576,97","44719,92","38385,57","39181,06","38910,79","37167,88","38024,1","36429,1","36628,01","36471,68",63,50,65,47,42,30,30,25,31,17,31,20,35,30,23,24,34,24,24,26,25,23,29,20,29,29,"7083,35625",7099005,"6775,4775","6754,5725",6462935,"6246,46125","5673,21875","5901,5525","5640,06875","5884,85125","5641,02625","5378,87625","5134,40125","4603,03125","4760,53625","4912,0425","4947,12125","5589,99","4798,19625","4897,6325","4863,84875",4645985,"4753,0125","4553,6375","4578,50125","4558,96","0,0546178521","0,0503171419","0,0496665836","0,0439321161","0,0432335551","0,0407992742","0,0386915391","0,0377416966","0,0379963556","0,0349789101","0,0338326237","0,0363884143","0,0337075849","0,0340142617","0,0309666996","0,0352929066","0,0341352831","0,0293074702","0,0318950814","0,0304368311","0,0309241654","0,0316486238","0,0300986294","0,032072392","0,0305578959","0,0305129553"
