BehaviorSpace results (NetLogo 5.0.3),,,,,,,,,,,,,,,,,,,,,,
BusinessInvestorWithAdaptiveBehavior.nlogo,,,,,,,,,,,,,,,,,,,,,,
expVarRiskMultiplier,,,,,,,,,,,,,,,,,,,,,,
01/22/2013 17:25:12:444 -0600,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,
0,19,0,19,,,,,,,,,,,,,,,,,,,
[run number],1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11
riskMultiplier,1,,"1,1",,"1,2",,"1,3",,"1,4",,"1,5",,"1,6",,"1,7",,"1,8",,"1,9",,2,
profitMultiplier,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
[reporter],mean [w] of turtles,mean [f] of turtles,mean [w] of turtles,mean [f] of turtles,mean [w] of turtles,mean [f] of turtles,mean [w] of turtles,mean [f] of turtles,mean [w] of turtles,mean [f] of turtles,mean [w] of turtles,mean [f] of turtles,mean [w] of turtles,mean [f] of turtles,mean [w] of turtles,mean [f] of turtles,mean [w] of turtles,mean [f] of turtles,mean [w] of turtles,mean [f] of turtles,mean [w] of turtles,mean [f] of turtles
,"80919,82","0,0351378923","80636,11","0,037076815","78531,49","0,0395100601","77338,66","0,0416519011","77191,02","0,0472899127","73145,69","0,0467357678","76888,88","0,0478508684","75038,88","0,0489623857","75082,37","0,05391889","72082,23","0,0573059924","75847,01","0,0580992364"
,"88655,76","0,0336198724","88378,86","0,037155539","86212,68","0,038534422","84514,63","0,0397114985","84863,18","0,0454163909","80106,64","0,045008855","83865,1","0,0463699847","82059,64","0,0471358972","82383,21","0,0535706501","78622,41","0,0539757715","82924,08","0,0557993668"
,"96191,74","0,0315563078","96016,58","0,0348814062","93582,39","0,0370768987","91620,32","0,0390549615","92139,94","0,0432189632","86925,02","0,043843822","91029,95","0,0458982599","89136,9","0,0471127323","89354,2","0,0518835652","85020,83","0,0530209713","89794,69","0,0552215236"
,"103615,45","0,0308264404","103490,65","0,0341435258","101090,59","0,0366697324","98575,84","0,0385485485","99322,81","0,0423937458","93874,87","0,0423600856","98075,34","0,0445039729","96097,72","0,0461717362","96244,02","0,0504138627","91380,21","0,051392702","96616,13","0,0529704847"
,"110989,56","0,0301539038","111178,11","0,0331401337",108290,"0,0366697324","105365,39","0,0379976944","106085,32","0,0408352509","100728,1","0,0419307035","104749,79","0,0431336864","102798,28","0,0447767121","102874,67","0,0481439519","97471,8","0,0502720358","103457,59","0,0530150243"
,"118438,04","0,0295490871","118908,13","0,0334166479","115756,29","0,036283941","112255,97","0,0367636635","112893,44","0,0402696173","107288,2","0,0399226537","111387,27","0,0426388651","109504,05","0,0434636338","109393,08","0,0479403283","103725,36","0,0500363845","109832,05","0,0508208587"
,"125723,78","0,0288678051","126108,29","0,0314520114","122880,99","0,0349840359","119075,74","0,036639169","120001,61","0,0397546266","113661,32","0,0405733687","118306,05","0,041800853","116315,54","0,0441165709","115938,38","0,0470998297","109620,16","0,0491886993","116561,29","0,0502417703"
,"132871,89","0,0282298847","133185,39","0,0304331836","129981,61","0,034613731","125557,54","0,036639169","126600,45","0,0391435561","120222,54","0,0391495475","124901,8","0,0411534825","123165,48","0,0432109273","122338,88","0,0469421816","115638,76","0,0478194143","122948,22","0,0487451116"
,"140242,37","0,0282298847","140205,37","0,0298090927","137128,94","0,034613731","132304,65","0,0352525132","133452,41","0,0391435561","126494,9","0,0383076602","131554,09","0,0411534825","130008,13","0,0430173202","128855,32","0,0456554097","121743,4","0,0475096925","129376,52","0,0487451116"
,"147481,11","0,0275627278","147261,68","0,0293580728","144129,73","0,0341276684","138765,16","0,0340139163","140263,93","0,0391435561","132918,57","0,0383052185","138145,97","0,0411534825","136689,87","0,042541595","135510,72","0,0456114622","127521,54","0,0471356644","135679,72","0,048477567"
,"154389,77","0,0260679326","154064,02","0,0288524793",150969,"0,0335592662","145067,6","0,0332020057","146829,12","0,038946032","139256,46","0,038057931","145005,33","0,0411534825","143414,25","0,0419531994","141755,3","0,0456114622","133506,48","0,0469088435","142234,08","0,0489209021"
,"161283,94","0,0250319034","161040,09","0,0290051512","158060,95","0,0335592662","151269,57","0,0324130346","153680,49","0,0386806227","145745,37","0,03788438","151599,26","0,0403979073","149514,72","0,0409000992","148101,54","0,0453634307","139698,88","0,0471339247","148151,19","0,048477567"
,"167802,8","0,0253001862","168087,59","0,0291762063","164865,36","0,0335592662","157517,17","0,0322690481","160153,12","0,0380761442","151939,87","0,0375303196","158158,38","0,0400265204","155905,18","0,0406774396","154365,94","0,0448041503","145696,75","0,0468794313","154767,86","0,0483735761"
,"174354,94","0,0248517099","175000,51","0,0285073865","171818,22","0,0335585022","163794,45","0,0314361174","166758,49","0,0380761442","158358,08","0,0375303196","164649,34","0,039633985","162029,12","0,0406774396","160908,3","0,0444256723","151616,86","0,0465711858","161210,97","0,0483735761"
,"181214,52","0,0248517099","181700,15","0,0280209766","178497,91","0,032801377","170041,59","0,0311410388","173313,19","0,0377087897","164607,93","0,0367801298","170925,39","0,039633985","168064,1","0,0390344633","167168,83","0,0439729819","157417,48","0,0465567374","167597,54","0,0483735761"
