"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestor-12-2.nlogo"
"Fig-12-1"
"01/28/2013 13:50:31:000 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"6774.33","3","6774.33","6498.76","3","6498.76","6447.13","8","6447.13","6524.95","10","6524.95","6802.39","8","6802.39","7187.42","4","7187.42","7003.42","4","7003.42","6886.7","6","6886.7","5815.01","6","5815.01","6104.86","12","6104.86","6515.86","9","6515.86","6573.3","3","6573.3","6896.5","3","6896.5","6572.78","5","6572.78","6591.16","5","6591.16","6368.88","5","6368.88","6867.2","2","6867.2","6092.12","4","6092.12","6522.41","2","6522.41","6612.17","2","6612.17","6506.14","2","6506.14","6591.56","1","6591.56","5601.81","10","5601.81","6626.84","1","6626.84","6230.6","4","6230.6","6506.55","3","6506.55"
,"13777.58","8","6888.79","13196.22","7","6598.11","13561.2","11","6780.6","13490.85","14","6745.425","13840.49","13","6920.245","14188.85","10","7094.425","13745.92","11","6872.96","14064.5","7","7032.25","11918.6","8","5959.3","12589.13","15","6294.565","12916.27","13","6458.135","12769.66","7","6384.83","13207.61","7","6603.805","12593.51","14","6296.755","12595.63","9","6297.815","12240.99","8","6120.495","13159.87","3","6579.935","11332.7","8","5666.35","11958.54","4","5979.27","12157.47","8","6078.735","12571.24","4","6285.62","12147.02","3","6073.51","10773.47","15","5386.735","12209.74","3","6104.87","11211.55","10","5605.775","11999.71","5","5999.855"
,"21235.7","8","7078.5666666666675","20055.4","9","6685.133333333335","20957.1","12","6985.700000000001","20499.03","17","6833.01","20644.26","18","6881.42","21328.42","11","7109.4733333333315","20465.14","17","6821.713333333332","20705.55","12","6901.85","17970.15","9","5990.049999999999","18729.55","17","6243.1833333333325","18861.55","17","6287.1833333333325","18195.07","11","6065.023333333332","19482.74","9","6494.246666666668","18814.25","17","6271.416666666668","18303.97","11","6101.323333333333","17737.72","11","5912.573333333333","18338.06","8","6112.686666666667","16203.89","11","5401.296666666665","16981.86","8","5660.62","16985.29","12","5661.763333333333","17807.52","5","5935.839999999997","17110.97","6","5703.656666666665","15383.98","20","5127.993333333333","17152.85","8","5717.616666666666","15794.84","12","5264.946666666665","16118.73","11","5372.909999999998"
,"28602.08","11","7150.52","26727.01","15","6681.7525","27778.48","19","6944.62","27236.59","22","6809.1475","26912.96","25","6728.24","27821.2","13","6955.3","26474.24","25","6618.56","26935.84","15","6733.96","23207.61","14","5801.9025","24415.08","21","6103.77","24368.38","22","6092.095","23511.28","15","5877.82","25183.23","13","6295.8075","24341.79","23","6085.4475","23607.28","13","5901.82","22738.86","17","5684.715","23207.78","12","5801.945","20969.12","14","5242.28","21473.21","9","5368.3025","21889.13","13","5472.2825","22730.4","7","5682.6","21902.02","7","5475.505","20018.29","22","5004.5725","22085.18","11","5521.295","19624.11","14","4906.0275","20021.64","14","5005.41"
,"35355.27","22","7071.053999999998","33540.98","18","6708.196000000001","34804.48","22","6960.895999999997","33932.98","25","6786.596000000001","33120.44","31","6624.088","34197.11","16","6839.422","32128.5","32","6425.7","33009.85","18","6601.97","28068","18","5613.6","30030.25","24","6006.050000000001","29512.38","25","5902.475999999999","29203.84","16","5840.767999999999","30898.68","16","6179.736000000001","29368.89","28","5873.777999999998","28514.37","16","5702.874000000002","27830.02","20","5566.004000000002","27790.59","18","5558.118","25277.16","18","5055.432","26263.19","9","5252.638000000001","26987.58","13","5397.515999999999","27525.37","10","5505.074000000002","26628.22","9","5325.643999999999","24606.69","24","4921.338000000002","26668.13","13","5333.626000000002","23238.99","15","4647.797999999999","24008.93","15","4801.785999999999"
,"42088.23","33","7014.705","40388.07","20","6731.345000000002","41658.09","26","6943.0149999999985","40256.96","30","6709.493333333333","39171.61","33","6528.601666666666","40305.04","17","6717.506666666664","37942.07","35","6323.678333333335","39181.27","21","6530.211666666666","33224.2","20","5537.366666666664","35576.47","25","5929.411666666666","34420.03","30","5736.671666666667","33861.7","17","5643.616666666668","36466.25","21","6077.708333333334","34278.5","35","5713.083333333332","33462.93","19","5577.155000000002","32610.37","23","5435.061666666667","32616.97","18","5436.161666666668","29605.8","19","4934.299999999999","30813.6","11","5135.6","31058.85","16","5176.4749999999985","32102.23","13","5350.371666666668","31148.18","10","5191.363333333334","28683.67","27","4780.611666666666","31070.82","19","5178.469999999999","26790.85","19","4465.1416666666655","27701.03","17","4616.838333333335"
,"49213.44","38","7030.491428571432","47023.56","24","6717.651428571429","48376.85","29","6910.978571428569","46317.64","34","6616.805714285715","44938.87","37","6419.8385714285705","46272.27","20","6610.324285714285","43756.17","40","6250.88142857143","44945.94","24","6420.848571428572","38218.61","25","5459.80142857143","40729.7","28","5818.528571428573","39516.58","31","5645.225714285713","38306.59","23","5472.37","41899.53","25","5985.647142857142","39216.89","35","5602.412857142858","38204.75","21","5457.821428571428","37199.02","26","5314.145714285713","37263.45","20","5323.35","33964.18","22","4852.025714285715","34693.31","13","4956.187142857142","35281.16","19","5040.165714285716","36707.57","14","5243.938571428574","35460.46","15","5065.780000000001","33143.33","28","4734.761428571428","35714.92","22","5102.131428571429","30374.82","21","4339.26","30897.49","19","4413.927142857144"
,"56436.08","42","7054.51","53837.86","27","6729.7325","55055.8","32","6881.975","52692.48","36","6586.56","50315.85","42","6289.48125","52000.63","21","6500.07875","48884.74","41","6110.5925","50534.88","26","6316.86","42706.38","30","5338.2975","46179.72","29","5772.465","44335.72","36","5541.965","43186.87","24","5398.35875","47082.44","26","5885.305","43680.66","36","5460.0825","42929.82","28","5366.2275","41728.58","30","5216.0725","41891.3","24","5236.4125","37778.02","23","4722.2525","39049.04","14","4881.13","39436.77","21","4929.59625","41805.77","14","5225.72125","40104.54","16","5013.0675","37219.9","30","4652.4875","40196.22","23","5024.5275","33615.05","25","4201.88125","34764.51","21","4345.56375"
,"63625.06","48","7069.45111111111","60082.58","36","6675.84222222222","61369.62","37","6818.846666666666","58900.53","39","6544.503333333331","55782.1","45","6198.011111111114","57534.2","23","6392.688888888889","54259.28","44","6028.808888888889","56105.56","31","6233.951111111112","46986.23","33","5220.692222222223","51042.85","33","5671.427777777778","49130.38","39","5458.931111111113","47591.79","24","5287.976666666666","52197.33","26","5799.703333333334","48221.12","40","5357.902222222225","47292.31","28","5254.701111111112","46130.52","31","5125.613333333335","46200.46","25","5133.384444444444","41746.3","25","4638.477777777778","43148.75","17","4794.3055555555575","43113.95","24","4790.438888888889","46126.72","18","5125.191111111111","44430.12","17","4936.68","41659.43","31","4628.825555555554","44693.17","24","4965.907777777778","36782.98","26","4086.997777777778","38036.37","23","4226.263333333333"
